Clean Development Mechanism::SYN::CDM,F 895         
physical impacts and adaptive capacity,F 1           
pilot phase JI credits::SYN::pilot phase joint implementation credits,F 1           
pilot phase for emissions trading,F 1           
pilot programme on Joint Implementation,F 1           
place between Annex I Parties,F 1           
place in December 2010,F 2           
place in May 2005,F 2           
place of greenhouse gas emissions,F 1           
place on Friday,F 2           
place on Wednesday,F 2           
place on issues,F 2           
place some very important principles,F 1           
planned activities,F 2           
plenary discussions,F 2           
poetic invocation of Victor Hugo,F 1           
policy aspects,F 3           
policy community,F 2           
policy development,F 3           
policy discussions in other bodies,F 1           
policy relevant and not policy,F 1           
policy relevant but not policy,F 1           
political action,F 2           
political agreement with little substance,F 1           
political consensus,F 2           
political considerations,F 2           
political differences,F 2           
political dilemma of apportioning responsibility,F 1           
political guidance and not text,F 1           
political impetus,F 2           
political implications,F 2           
political leaders,F 3           
political nature,F 2           
political questions,F 3           
political relations or racial considerations,F 1           
political will and political skill,F 1           
politicians arriving next week,F 1           
politicized negotiations to real action,F 1           
polluter-pays principle,F 2           
poor infrastructure and insufficient funding,F 1           
positive but logistically-challenged Cancun COP::SYN::positive but logistically-challenged Cancun Conference of Parties,F 1           
positive effects,F 2           
positive experiences with environmental taxes,F 1           
possibilities for future emissions reductions,F 1           
possibility for enhancing renewable energy,F 1           
possibility for further SBSTA consideration,F 1           
possibility of Annex B parties,F 1           
possibility of creating new commitments,F 1           
possibility of incorporating relevant paragraphs,F 1           
possibility that certain definitional judgements,F 1           
possible Article,F 2           
possible COP decision on methodologies::SYN::possible Conference of Parties decision on methodologies,F 1           
possible NAMA registry or mechanism,F 1           
possible Saturday morning extension,F 1           
possible adoption,F 2           
possible cap for forest management,F 1           
possible compromise,F 2           
possible core COP decision::SYN::possible core Conference of Parties decision,F 1           
possible creation,F 2           
possible draft COP-6 decision,F 1           
possible economic benefits of measures,F 1           
possible elements of agreed progress,F 1           
possible form or legal nature,F 1           
possible fuel or technology solution,F 1           
possible funding,F 3           
possible future work programme,F 1           
possible high-level finance committee,F 1           
possible impacts,F 2           
possible inconsistencies between COP guidance::SYN::possible inconsistencies between Conference of Parties guidance,F 1           
possible integration of previous options,F 1           
possible limited inclusion of sinks,F 1           
possible new legally-binding instrument,F 1           
possible procedure for considering appeals,F 1           
possible process,F 2           
possible referral,F 2           
possible roadmap,F 2           
possible second commitment period,F 1           
possible use of facilitative measures,F 1           
possible way,F 2           
possibly relevant international organizations,F 1           
post-2000 period,F 2           
post-2012 action,F 2           
post-2012 climate change framework,F 1           
post-2012 finance,F 2           
postponing action,F 3           
potential consequences and legal matters,F 1           
potential contribution of other measures,F 1           
potential decision,F 2           
potential elements,F 2           
potential host government in cash,F 1           
potential risks,F 2           
potential risks of legal action,F 1           
potential role,F 2           
potential role in obtaining funding,F 1           
potential scale,F 3           
potential scale of LULUCF activities,F 1           
ppm and limit temperature increase,F 1           
practical action,F 2           
practical and pragmatic first step,F 1           
practical difficulties,F 3           
practical meaning to technology transfer,F 1           
practical methodologies,F 2           
practical solutions,F 2           
practical ways,F 2           
practice of withholding financial support,F 1           
pre-2020 ambition gap in relation,F 1           
pre-2020 period,F 2           
pre-2020 timeframe,F 2           
pre-COP ministerial meeting after Tianjin,F 1           
pre-commitment period,F 2           
pre-industrial levels,F 2           
pre-recorded video message to delegates,F 1           
pre-sessional and other informal consultations,F 1           
preambular text and discussed trade,F 1           
preambular uncontroversial and factual paragraphs,F 1           
precautionary approach in climate negotiations,F 1           
precedents for other international agreements,F 1           
predictability of support,F 2           
predictable resources,F 3           
preference for COP-6,F 2           
preference for giving parallel consideration,F 1           
preferential projects under Joint Implementation,F 1           
preferred reference to Convention Article,F 1           
preferred stating,F 2           
prejudging outcomes of other discussions,F 1           
preparation of draft,F 3           
preparation of draft improved guidelines,F 1           
preparation of fourth national communications,F 1           
preparation of greenhouse gas inventories,F 1           
preparation of guidelines,F 2           
preparation of information,F 2           
preparation of initial national communications,F 1           
preparation of inventory,F 2           
preparation of non-Annex I communications,F 1           
preparatory work on national communications,F 1           
prepared based on parties comments,F 1           
prepared draft decision text,F 1           
prepared using current guidelines,F 1           
preparing reports on national circumstances,F 1           
present decade,F 2           
pressing needs of developing countries,F 1           
pressure of multiple parallel meetings,F 1           
preventing dangerous anthropogenic interference,F 1           
previous SBI,F 3           
previous SBI negotiating text,F 1           
previous contact group meeting,F 1           
previous situation where parties,F 1           
previous week,F 2           
previously agreed conference outcomes,F 1           
previously established AWG-LCA contact,F 1           
previously-stated positions,F 2           
price being set on carbon,F 1           
primary aim of implementation procedures,F 1           
primary means of emissions reductions,F 1           
primary tool for combating climate,F 1           
primary tool for communicating progress,F 1           
priority issues,F 2           
priority recipients of fast-start financing,F 1           
private investment through public finance,F 1           
private sector and carbon market,F 1           
private sector and national resources,F 1           
private sector in technology transfer,F 1           
private sources,F 3           
private-sector participation,F 2           
proactive approach,F 2           
problems and lower GHG emissions,F 1           
problems preventing success in Copenhagen,F 1           
procedural decision,F 2           
procedural problems with JI Track::SYN::procedural problems with joint implementation Track,F 1           
procedures for CDM project registration::SYN::procedures for Clean Development Mechanism project registration,F 1           
process for conferring legal personality,F 1           
process for defining mitigation commitments,F 1           
process for parties,F 2           
process of implementing national actions,F 1           
process of joining Convention Annex,F 1           
process on finance,F 2           
producing non-Annex I communications,F 2           
producing text,F 2           
programme budget in greater detail,F 1           
programme on common accounting rules,F 1           
programme on insurance,F 2           
progress also made on validation,F 1           
progress by considering emissions reductions,F 1           
progress of implementing Convention Article,F 1           
progress on LULUCF,F 2           
progress on informal group meetings,F 1           
progress on national adaptation plans,F 2           
progress on new work areas,F 1           
progressive approach,F 2           
project activities under Protocol Article,F 1           
project crediting,F 2           
project cycle of emissions trading,F 1           
project development,F 3           
project participants,F 2           
project pipeline,F 2           
project preparation and development facility,F 1           
project-based mechanisms,F 2           
project-by project approach for baselines,F 1           
project-specific reserve and transboundary issues,F 1           
projects addressed several conventions,F 1           
projects in Africa,F 3           
projects in LDCs::SYN::projects in least developed countries,F 3           
projects in non-Annex,F 3           
prominent developing country negotiator,F 1           
prominent topics,F 2           
prominent words being repeated,F 1           
promoting synergies,F 2           
promotion of sustainable development objectives,F 1           
prompt agreement on practical measures,F 1           
prompt funding for implementating NAPAs,F 1           
propaganda from certain industrial sectors,F 1           
proper consideration,F 2           
properly designed REDD mechanism,F 1           
proposal and other OECD members,F 1           
proposal and uniform reporting requirements,F 1           
proposal by AOSIS::SYN::proposal by Alliance of Small Island States,F 2           
proposal by Belarus,F 2           
proposal by Norway,F 2           
proposal for draft SBI conclusions,F 1           
proposal for streamlining review processes,F 1           
proposal from CANADA,F 2           
proposal on Article,F 2           
proposal on LULUCF,F 3           
proposal on cleaner energy exports,F 1           
proposal on developing case studies,F 1           
proposal providing guidance to COP-2,F 1           
proposal to capping forest management,F 1           
proposals by Friday,F 2           
proposals for text,F 2           
proposals including negotiated credits,F 1           
proposals on financing,F 3           
proposals to COP-2,F 2           
proposals without numbers,F 2           
proposed Adaptation and Special Climate,F 1           
proposed Article 10,F 2           
proposed Clean Development Mechanism,F 1           
proposed Multilateral Consultative Committee,F 1           
proposed Principles,F 2           
proposed UNFCCC subsidiary body,F 1           
proposed adaptation expert committee,F 1           
proposed changes to Protocol Article,F 1           
proposed consultations,F 2           
proposed elements,F 2           
proposed expert workshop in collaboration,F 1           
proposed fund and WTO rules::SYN::proposed fund and World Trade Organization rules,F 1           
proposed global goal on adaptation,F 1           
proposed including reference to incentives,F 1           
proposed new item on decision-making,F 1           
proposed new protocols in Copenhagen,F 1           
proposed options,F 3           
proposed paragraph,F 2           
proposed preparing draft decisions,F 1           
proposed programme,F 2           
proposed technology transfer mechanism,F 1           
proposed workshop and further consultations,F 1           
proposed workshop on ecosystem-based adaptation,F 1           
proposed workshops on spillover effects,F 1           
protecting human rights and dignity,F 1           
protection of intellectual property rights,F 1           
protocol mandate,F 2           
protocol mandate before leaving Berlin,F 1           
protocol on greenhouse gas reduction,F 1           
protocol or legally binding instrument,F 1           
protracted bilateral and multilateral talks,F 1           
protracted discussions Monday as contact,F 1           
provided assistance,F 2           
providing clarity on how JI::SYN::providing clarity on how joint implementation,F 1           
providing financial and technical assistance,F 1           
providing updated rules and modalities,F 1           
provision exempting SIDS from payment::SYN::provision exempting small ISLANDS developing States from payment,F 1           
provision for minimizing adverse effects,F 1           
provision for non-Annex I Parties,F 1           
provision of agreed full costs,F 1           
provisional approval to New Zealand,F 1           
provisional recommendation,F 2           
provisions for developed country commitments,F 1           
provisions of decision,F 2           
provisions of relevant COP decisions::SYN::provisions of relevant Conference of Parties decisions,F 1           
provisions requiring financial additionality,F 1           
prudent approach to carbon sinks,F 1           
public awareness and training programmes,F 1           
public funding and private finance,F 1           
public policy and financial instruments,F 1           
public research and development investment,F 1           
public research and development policy,F 1           
public sector,F 3           
public sources,F 3           
publicly-funded technologies,F 3           
pursuit of agriculture-related mitigation objectives,F 1           
push factor in developed countries,F 1           
quality of developing country inventories,F 1           
quantifiable and verifiable emissions reductions,F 1           
quantified emission limitation objectives,F 1           
quantified national mid-term target,F 1           
question of policies,F 2           
question of sinks,F 2           
question-and-answer session on various aspects,F 1           
questions addressing President Pronk,F 1           
quick start,F 2           
raised problems concerning sinks,F 1           
raising developing countries concerns,F 1           
rationale for establishing new drafting,F 1           
reached agreement on GEF arrangements::SYN::reached agreement on Global Environment Facility arrangements,F 1           
reaching agreement on capacity building,F 1           
reaching agreement on strengthening efforts,F 1           
reaching decisions,F 2           
reading guides,F 2           
ready access to GEF funds::SYN::ready access to Global Environment Facility funds,F 1           
real ambition on climate action,F 1           
real and measurable long-term reductions,F 1           
real possibility,F 2           
real progress,F 2           
real sink for CO2 emissions,F 1           
realistic binding emissions limits,F 1           
realistic climate change objectives,F 1           
reality as quickly as hoped,F 1           
recalling reactions,F 2           
received considerable support at SBI,F 1           
received so little attention,F 1           
recognition of indigenous governance structures,F 1           
recognizing and registering mitigation actions,F 1           
recommence negotiations on outstanding issues,F 1           
recommendation for COP-5,F 2           
recommendation to multilateral development banks,F 1           
recommended draft decision on AIJ::SYN::recommended draft decision on activities implemented jointly,F 1           
reconsideration of financial resource allocation,F 1           
reconstituted body,F 2           
reconvened Saturday,F 2           
record of Annex I countries,F 1           
reducing deforestation,F 3           
reducing external debt burdens,F 1           
reducing impacts on developing countries,F 1           
reduction commitments for developing countries,F 1           
reduction in carbon dioxide emissions,F 1           
reduction in greenhouse gas emissions,F 1           
reduction of GHGs,F 2           
reduction of global fossil fusel,F 1           
reduction potential,F 3           
reference emission levels and degradation,F 1           
reference scenario without new policies,F 1           
reference to Parties,F 3           
reference to addressing implementation gaps,F 1           
reference to avoiding package deals,F 1           
reference to issues,F 2           
reference to least developed countries,F 1           
reference to other interested Parties,F 1           
reference to strict being replaced,F 1           
reference to technology,F 2           
reference to technology transfer mechanism,F 1           
references to commitments,F 2           
refined negotiating text at COP-6,F 1           
reflecting other future processes,F 1           
regard to Annex I communications,F 1           
regime for assessing Parties compliance,F 1           
regional adaptation and vulnerability assessment,F 1           
regional and national climate policies,F 1           
regional approach to GHG reduction,F 1           
regional imbalance of CDM projects::SYN::regional imbalance of Clean Development Mechanism projects,F 1           
regional or other multilateral channels,F 1           
regional organization,F 2           
regional workshops on integrated assessment,F 1           
regions hardest hit by climate,F 1           
registration counter and observer organizations,F 1           
registration deadline for prompt-start projects,F 1           
registration of JI project activities::SYN::registration of joint implementation project activities,F 1           
registry administrator,F 2           
registry of available training resources,F 1           
registry requirements,F 2           
regular and sufficient financial resources,F 1           
regular forums to exchange ideas,F 1           
regularly capacity building activities,F 1           
related key sectoral issues,F 1           
relation to Kyoto Protocol Article,F 1           
relation to additional financial resources,F 1           
relation to developing country actions,F 1           
relation to issues,F 2           
relatively small number of activities,F 1           
relevant Article,F 2           
relevant UN,F 3           
relevant contact,F 2           
relevant contact group chairs,F 1           
relevant decisions on response measures,F 1           
relevant developing country data,F 1           
relevant international organizations and bodies,F 1           
relevant issues,F 3           
relevant language on emission trends,F 1           
relevant reduction of global emissions,F 1           
relevant sections,F 2           
relevant stakeholders,F 3           
reliable and predictable financial provisions,F 1           
reliance on fossil fuel exports,F 1           
religious holidays,F 3           
reluctance by developed country Parties,F 1           
reluctance of Annex,F 2           
reluctance of Annex I Parties,F 1           
remaining Umbrella Group members,F 1           
remaining days,F 2           
remaining mechanisms related issues,F 1           
remaining paragraphs,F 2           
remaining uncertainties,F 2           
reminding delegates that urgent action,F 1           
removing remaining bracketed text,F 1           
renewable energy and natural resources,F 1           
renewable energy in developing countries,F 1           
renewable energy project activities,F 1           
renewable energy sector and ratification,F 1           
repetition of unsustainable growth models,F 1           
report and proposing further consideration,F 1           
report by co-facilitator Minister Mabudhafasi,F 1           
report list points of contention,F 1           
report of INC-11,F 2           
report on GHG inventory data,F 1           
report on Good Practice Guidance,F 1           
report on HWP::SYN::report on harvested wood products,F 2           
report on LULUCF,F 3           
report on experiences,F 2           
report on implementation,F 2           
report to COP::SYN::report to Conference of Parties,F 2           
report to COP-3,F 2           
reporting burdens,F 2           
reporting guidelines on global climate,F 3           
reporting line,F 2           
reporting mixed results on Monday,F 1           
reporting net national totals,F 1           
reporting process,F 3           
reporting process on demonstrable progress,F 1           
reports from expert review teams,F 1           
reports on national greenhouse gas,F 1           
representatives from governments,F 2           
request for submissions,F 3           
request from certain developing countries,F 1           
request the COP::SYN::request the Conference of Parties,F 2           
requesting GEF financial support::SYN::requesting Global Environment Facility financial support,F 1           
requesting legal guidance on ways,F 1           
requesting submissions,F 3           
required commitment period reserve,F 1           
required information,F 2           
requirement for tradeable emission permits,F 1           
requirement that Annex I Parties,F 1           
requirement under Articles,F 2           
requirements for Annex I Parties,F 1           
research networks,F 2           
research on lower stabilization scenarios,F 1           
research on natural climate variability,F 1           
research programmes,F 2           
resolution of issues,F 2           
resolution of key political issues,F 1           
resolution of questions regarding implementation,F 1           
resolved included eligibility requirements,F 1           
resource constraints,F 2           
resource implications,F 2           
respect for indigenous peoples rights,F 1           
respective agendas,F 2           
respective bodies,F 2           
respective positions,F 2           
restoration rate of excess tonnes,F 1           
results-based actions,F 2           
resumed SB-13,F 2           
resumed SBI closing plenary,F 1           
resumed meeting,F 2           
retaining only general references,F 1           
revised UNFCCC,F 3           
revised UNFCCC programme budget,F 1           
revised document,F 2           
revised draft conclusions paragraph-by-paragraph,F 1           
revised draft decision and delegates,F 1           
revised draft decision on issues,F 1           
revised draft preambular text,F 1           
revised draft terms of reference,F 1           
revised draft text for Article,F 1           
revised draft text paragraph-by-paragraph,F 1           
revised indicative list of contributions,F 1           
revised negotiating text by COP-6,F 1           
revised non paper on sinks,F 1           
revised non-paper containing elements,F 1           
revised text on long-term finance,F 1           
revised text on methodological issues,F 1           
revised text with minor amendments,F 1           
revised versions,F 3           
revising NAPA guidelines at COP-8,F 1           
rigidity of commonly agreed rules,F 1           
rigorous impact assessment studies,F 1           
rising concentrations of anthropogenically produced,F 1           
risk insurances and private investment,F 1           
risk of carbon cycle feedbacks,F 1           
risk reduction and fight climate,F 1           
roadmap with new ambitious targets,F 1           
robust and transparent MRV system,F 1           
role in capacity-building,F 2           
role in enhancing carbon sinks,F 1           
role the UNFCCC,F 2           
roles for NGOs::SYN::roles for non-governmental organizations,F 2           
roundtable discussion on future actions,F 1           
rule book,F 2           
rules for LULUCF,F 3           
rules-based regime and limits access,F 1           
rural livelihoods and local communities,F 1           
sale of CERs::SYN::sale of Certified Emission Reductions,F 2           
scale of Article,F 2           
scale of actual LULUCF projects,F 1           
scheduled meetings,F 2           
science-based Review narrow in scope,F 1           
scientific uncertainties regarding sinks,F 1           
scope for action,F 2           
scope of activities,F 2           
screening LULUCF activities for biodiversity,F 1           
scrutiny as conventional scientific knowledge,F 1           
sea level rise projections,F 1           
second IPCC assessment report,F 1           
second Protocol review under Article,F 1           
second and consecutive commitment periods,F 1           
second commitment period agreement,F 1           
second commitment period and agreement,F 1           
second commitment period and mechanisms,F 1           
second commitment period and progress,F 1           
second commitment period commitments,F 1           
second commitment period for Annex,F 1           
second communications,F 2           
second contact,F 2           
second contact group meeting,F 1           
second day,F 3           
second review under Protocol Article,F 1           
second structured expert dialogue,F 1           
second week when ministers,F 1           
second workshop and further discussing,F 1           
secret ballots,F 2           
secretariat services,F 2           
secretive and non transparent initiative,F 1           
section assigning responsibility to Parties,F 1           
section on consequences,F 2           
section on designated operational entities,F 1           
section on support,F 2           
sections containing operative paragraphs,F 1           
sector approach to raising ambition,F 1           
sector-specific risk reduction plans,F 1           
sectoral agreements for energy-intensive industries,F 1           
sectoral approach for creating incentives,F 1           
sectoral approach to technology transfer,F 1           
seen late Wednesday night,F 1           
selection criteria for additional activities,F 1           
selective when presenting information,F 1           
senior government and UN officials,F 1           
senior staff,F 2           
sensitivity analyses,F 2           
sentiments over other difficult issues,F 1           
separate SBI agenda item,F 1           
separate agenda,F 2           
separate article,F 2           
separate budget and trust fund,F 1           
separate conclusions,F 3           
separate contact,F 2           
separate fund,F 2           
separate guidance and special consideration,F 1           
separate item,F 2           
separate options,F 3           
separate reports on global climate,F 1           
sequestration projects,F 3           
serious concern over continued reliance,F 1           
serious concerns about ocean storage,F 1           
serious hindrance to sustainable development,F 1           
serious negotiations,F 2           
seriousness of climate,F 2           
seriousness of climate change impacts,F 1           
session and Co-Chair Valli Moosa,F 1           
sessions during sacred religious holidays,F 1           
setting emissions,F 2           
severe weather,F 3           
share of carbon dioxide emissions,F 1           
share of renewable energy resources,F 1           
shared vision after little progress,F 1           
shared vision and indigenous peoples,F 1           
shared vision and various approaches,F 1           
shared vision workshop report,F 1           
sharper definition of FCCC goals,F 1           
shifting responsibility to developing countries,F 1           
short time,F 2           
short-term financing,F 3           
short-term measures,F 2           
shorter project disbursement cycle,F 1           
showing clear signs of relief,F 1           
sign of increasingly tight security,F 1           
signaling continuity of flexible mechanisms,F 1           
significant civil society backing,F 1           
significant greenhouse gas reductions,F 1           
significant issue,F 2           
significant reductions,F 2           
significant step,F 2           
significant technological and policy responses,F 1           
signs of movement,F 2           
simple Protocol,F 2           
simple and accessible web platform,F 1           
simple fact finding body,F 1           
simplification of existing Protocol procedures,F 1           
simplified methodologies,F 2           
single activity,F 2           
single contact group on Annex,F 1           
single new legally-binding protocol,F 1           
single new legally-binding treaty,F 1           
single silver bullet solution,F 1           
sinking lands and ocean acidification,F 1           
sinks and six greenhouse gases,F 1           
sinks in QELROs,F 2           
six formal bodies taking place,F 1           
sixteenth Asia-Pacific Economic Cooperation,F 1           
sixth national communication four years,F 1           
sliding scale,F 2           
slightly concerned but determined party,F 1           
slow progress on many issues,F 1           
small delegations,F 3           
small economies,F 3           
small group of legal experts,F 1           
small island developing country,F 1           
small number of essential Parties,F 1           
small number of political decisions,F 1           
small representative group before consideration,F 1           
small scale JI projects::SYN::small scale joint implementation projects,F 2           
small scale sinks projects,F 1           
small working,F 2           
small-scale JI::SYN::small-scale joint implementation,F 2           
small-scale biomass and community forestry,F 1           
smaller group with higher-level representation,F 1           
smaller meeting rooms as negotiators,F 1           
so-called technical and editorial changes,F 1           
social aspects of climate mitigation,F 1           
social context,F 2           
social development and poverty alleviation,F 1           
social marketing campaign for citizens,F 1           
socio-economic impacts on developing countries,F 1           
socioeconomic aspects and technological cooperation,F 1           
socioeconomic aspects of climate policy,F 1           
sole judge,F 2           
sole means of technology transfer,F 1           
solid foundation,F 2           
solid foundation for addressing climate,F 1           
solid scientific basis for deliberations,F 1           
solidarity and encouraged technology sharing,F 1           
solution to climate,F 3           
solution to financing adaptation technology,F 1           
sound and equitable global strategy,F 1           
sound basis for addressing climate,F 1           
sound institutional frameworks for action,F 1           
sound technologies in developing countries,F 1           
sovereign states,F 2           
special annual contribution of DM,F 1           
special circumstances under UNFCCC Article,F 1           
special climate change issues,F 1           
special fund with voluntary contributions,F 1           
special projects,F 3           
special scientific Plenary segment,F 1           
special side event on research,F 1           
special status,F 2           
special working,F 2           
specialized agencies and related organizations,F 1           
specific CDM capacity building::SYN::specific Clean Development Mechanism capacity building,F 1           
specific actions,F 3           
specific commitments,F 3           
specific consideration of Protocol Articles,F 1           
specific decision on UNFCCC Article,F 1           
specific elements,F 2           
specific elements of national programmes,F 1           
specific needs and special situations,F 1           
specific next steps for SBSTA-20,F 1           
specific options with tangible results,F 1           
specific organizations,F 2           
specific paragraphs of UNFCCC Articles,F 1           
specific project,F 3           
specific sector previously addressed,F 1           
specific tasks,F 2           
specifically addressing emissions from deforestation,F 1           
specified time,F 2           
specified timeframes,F 2           
specifying mitigation and adaptation technologies,F 1           
spectrum of countries national circumstances,F 1           
spectrum of views,F 2           
spirit of Bangkok,F 2           
spirit of solidarity,F 2           
stabilization goal,F 3           
stabilization levels,F 3           
stabilization of greenhouse gas emissions,F 1           
staff costs,F 3           
stage for later round tables,F 1           
stage of negotiations,F 2           
stage where most negotiations,F 1           
staged approach,F 2           
stakeholder participation within forestry projects,F 1           
standardized baselines and additionality benchmarks,F 1           
standardized testing and independent assessment,F 1           
standing group of review experts,F 1           
standing ovation,F 2           
stark reality,F 2           
starting point for protocol negotiations,F 1           
starting points,F 2           
state of Rio de Janeiro,F 1           
state of discussions,F 2           
state of progress,F 2           
state-of-the-art environmentally sound technologies,F 1           
statement whereby capacity building,F 1           
statements from Parties,F 2           
statements from international government organizations,F 1           
status of consultations,F 2           
steady progress,F 3           
still collecting bargaining chips,F 1           
still continuing on Tuesday night,F 1           
still raising questions among delegates,F 1           
stock changes,F 2           
stock-taking session Wednesday afternoon,F 1           
stocktaking meeting,F 2           
strategic approach,F 2           
strategies and several developing countries,F 1           
strategy paper on long-term perspectives,F 1           
streamlined access to existing institutions,F 1           
strengthening of GHG atmospheric concentrations,F 1           
stressing programmatic and sectoral approaches,F 1           
strictly technical as opposed,F 1           
strong action,F 3           
strong commitment to Protocol Article,F 1           
strong concern regarding attempts,F 1           
strong concerns,F 2           
strong efforts by developed countries,F 1           
strong message,F 2           
strong monitoring and compliance mechanisms,F 1           
strong monitoring and reporting requirements,F 1           
strong objections,F 2           
strong preferences for early action,F 1           
strong signal on follow-up actions,F 1           
strong targets and domestic action,F 1           
stronger collaboration between technology developers,F 1           
sub-Saharan Africa,F 3           
sub-Saharan Africa only accounts,F 1           
sub-group meetings and informal consultations,F 1           
sub-item on information,F 2           
sub-national approaches,F 3           
sub-national emission reduction actions,F 1           
sub-paragraph on demonstration adaptation projects,F 1           
sub-paragraph s application to Article,F 1           
submission of greenhouse gas invento-ries,F 1           
submission of information,F 3           
submission of non-Annex,F 3           
submissions consideration,F 2           
submissions of Parties regarding activities,F 1           
submissions of non-Annex I Parties,F 1           
submissions on issues,F 2           
submitted NAMAs::SYN::submitted nationally appropriate mitigation actions,F 2           
submitted first national communications,F 1           
subsequent COPs,F 2           
subsidiary bodies for further consideration,F 1           
subsidiary bodies or new institutions,F 1           
subsidiary body on technology issues,F 1           
substantial agreement that immediate action,F 1           
substantial economic potential for mitigation,F 1           
substantive agenda item at SBSTA-16,F 1           
substantive consideration,F 3           
substantive debate,F 2           
substantive discussion on bunker fuels,F 1           
substantive issues on LULUCF activities,F 1           
substantive negotiations,F 3           
substantive negotiations behind closed doors,F 1           
substantive negotiations in closed meetings,F 1           
substitute for long-term emissions reductions,F 1           
success hinges on science-based broadening,F 1           
success of Japanese hybrid vehicles,F 1           
successes in re-injecting carbon dioxide,F 1           
successes of various action pledges,F 1           
successful MEAs with universal membership::SYN::successful multilateral environmental agreements with universal membership,F 1           
successful completion,F 2           
successful outcome next Friday,F 1           
successfully combined science and policy,F 1           
suffered severe weather events,F 1           
suffi-cient guidance,F 2           
suffi-cient guidance on operational procedures,F 1           
sufficient incentive,F 2           
sufficient progress,F 3           
sufficient resources,F 2           
sufficiently addressed in other fora,F 1           
suggested amendments,F 2           
suggesting regulatory and institutional reforms,F 1           
suggestion by Co-Chair Dechen Tsering,F 1           
suggestion that non-Annex I Parties,F 1           
supplementary information in national communications,F 1           
support as broad umbrella categories,F 1           
support for developing country Parties,F 1           
support for developing country actions,F 1           
support for including reference years,F 1           
support for non-Annex,F 4           
support on other specific issues,F 1           
support the IPCC,F 2           
supporting framework for national communications,F 1           
suspending voting rights for Parties,F 1           
sustainable consumption and production patterns,F 1           
sustainable development in developing countries,F 1           
sustainable development of developing countries,F 1           
synthesis of non-Annex,F 3           
synthesis report on recent workshops,F 1           
synthesizing results of recent workshops,F 1           
system of tradeable emissions permits,F 1           
systems under Article,F 2           
taking national circumstances into consideration,F 1           
taking place in informal consultations,F 1           
taking responsibility,F 2           
target date,F 2           
target year or budget period,F 1           
target years,F 3           
targets by Annex I countries,F 2           
technical LULUCF workshop before COP-11,F 1           
technical assistance from developed countries,F 1           
technical capabilities,F 2           
technical capacity,F 3           
technical cooperation with technological transfer,F 1           
technical difficulty of aggregating adaptation,F 1           
technical meeting,F 2           
technical options,F 2           
technical panel on capacity building,F 1           
technical papers and expert workshops,F 1           
technical progress,F 2           
technical review and multilateral assessment,F 1           
technical review of greenhouse gas,F 2           
technical review process of inventories,F 1           
technical sub-group,F 2           
technical workshops and intersessional meetings,F 1           
technological support,F 3           
technologies for future reduction targets,F 1           
technology adaptation,F 2           
technology and capacity building support,F 1           
technology assessment,F 2           
technology committee,F 2           
technology component,F 2           
technology research,F 3           
technology support,F 3           
technology transfer and CDM activities::SYN::technology transfer and Clean Development Mechanism activities,F 1           
technology transfer and FCCC Articles,F 1           
technology transfer and other projects,F 1           
technology transfer and sustainable funding,F 1           
technology transfer and technical support,F 1           
technology transfer from developed countries,F 2           
technology transfer in national communications,F 1           
technology transferable free of charge,F 1           
television monitors,F 2           
temperate developed agricultural economy,F 1           
temporary CERs and long-term CERs::SYN::temporary Certified Emission Reductions and long-term Certified Emission Reductions,F 1           
tendency toward multiple year targets,F 1           
tenth anniversary,F 2           
term financing,F 2           
text addressing CDM governance::SYN::text addressing Clean Development Mechanism governance,F 1           
text after making several changes,F 1           
text concerning developed country,F 1           
text consolidating previous proposals,F 1           
text encouraging developing countries,F 1           
text encouraging host Parties,F 1           
text for adoption,F 2           
text for amending Protocol Annex,F 1           
text for draft,F 3           
text in section,F 2           
text on Friday,F 2           
text on countries,F 2           
text on developed country mitigation,F 1           
text on global warming potentials,F 1           
text on harvested wood products,F 1           
text on mechanisms,F 2           
text on regional coordinated implementation,F 1           
text taking note of discussions,F 1           
text while many developing countries,F 1           
texts for decisions,F 2           
textual amendments,F 2           
the_ Ad Hoc_ Working,F 1           
thematic draft decisions on adaptation,F 1           
thematic draft texts on mitigation,F 1           
thematic regional and sub-regional workshops,F 1           
thematic workshop and technical papers,F 1           
therefore adjourned until Wednesday morning,F 1           
therefore sustainable livelihood approaches,F 1           
third and last solidarity collection,F 1           
third and subsequent commitment periods,F 1           
third and subsequent national communications,F 1           
third national communications from Annex,F 1           
third national communications to SB-20,F 1           
third or subsequent commitment periods,F 1           
third replenishment,F 2           
third synthesis report on non-Annex,F 2           
thousands more next week,F 1           
threat climate,F 2           
threat from rising sea levels,F 1           
threat of third party claims,F 1           
threat to poverty alleviation efforts,F 1           
three official UNFCCC negotiating sessions,F 1           
three panel discussions taking place,F 1           
three-fourths or two-thirds majority vote,F 1           
tight timelines,F 2           
timber stocks in different parts,F 1           
time for consultations,F 2           
time horizon,F 3           
time of unprecedented political will,F 1           
timely opportunity to exchange views,F 1           
timely submission,F 3           
timing issues,F 2           
timing of financing,F 2           
timing of second national communications,F 1           
tonnes of carbon dioxide equivalent,F 1           
too many unresolved issues,F 1           
topic being discussed on Friday,F 1           
track two of joint implementation,F 1           
tracks and setting clear deadlines,F 1           
trade policy mechanism under GATT,F 1           
training of experts,F 2           
transaction of CERs::SYN::transaction of Certified Emission Reductions,F 2           
transfer of public domain technology,F 1           
